id,name,ticker,currentprice,change,lastprice,percent,updated
68,SRTRANSFIN,SRTRANSFIN,1110,50,1060,5,TRUE
69,ASIANPAINT,ASIANPAINT,1630,30,1600,2,TRUE
70,HCLTECH,HCLTECH,1120,20,1100,2,TRUE
71,CONCOR,CONCOR,490,90,400,23,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,340,0,340,0,TRUE
73,COALINDIA,COALINDIA,190,0,190,0,TRUE
74,INFY,INFY,680,-30,710,-4,TRUE
75,CIPLA,CIPLA,480,10,470,2,TRUE
76,OFSS,OFSS,310,0,310,0,TRUE
77,POWERGRID,POWERGRID,200,0,200,0,TRUE
78,NHPC,NHPC,10,-5,15,-33,TRUE
79,UPL,UPL,570,10,560,2,TRUE
80,TATAMTRDVR,TATAMTRDVR,75,15,60,25,TRUE
81,CADILAHC,CADILAHC,220,0,220,0,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2500,-100,2600,-4,TRUE
83,PAGEIND,PAGEIND,1880,40,1840,2,TRUE
84,MARUTI,MARUTI,660,10,650,2,TRUE
85,TATAMOTORS,TATAMOTORS,120,30,90,33,TRUE
86,MARICO,MARICO,470,90,380,24,TRUE
87,MOTHERSUMI,MOTHERSUMI,110,30,80,38,TRUE
88,NMDC,NMDC,90,10,80,13,TRUE
89,INFRATEL,INFRATEL,240,-10,250,-4,TRUE
90,HINDALCO,HINDALCO,170,-10,180,-6,TRUE
91,RELIANCE,RELIANCE,1370,80,1290,6,TRUE
92,WIPRO,WIPRO,270,20,250,8,TRUE
93,BIOCON,BIOCON,220,-10,230,-4,TRUE
94,AUROPHARMA,AUROPHARMA,590,80,510,16,TRUE
95,SUNPHARMA,SUNPHARMA,440,10,430,2,TRUE
96,HEROMOTOCO,HEROMOTOCO,310,10,300,3,TRUE
97,TATASTEEL,TATASTEEL,370,-10,380,-3,TRUE
98,VEDL,VEDL,140,20,120,17,TRUE
99,IDEA,IDEA,70,0,70,0,TRUE
100,JSWSTEEL,JSWSTEEL,230,0,230,0,TRUE
101,PGHH,PGHH,1030,20,1010,2,TRUE
