id,name,ticker,currentprice,change,lastprice,percent,updated
87,MOTHERSUMI,MOTHERSUMI,100,-10,110,-9,TRUE
88,NMDC,NMDC,100,10,90,11,TRUE
89,INFRATEL,INFRATEL,220,0,220,0,TRUE
90,HINDALCO,HINDALCO,160,10,150,7,TRUE
91,RELIANCE,RELIANCE,1740,100,1640,6,TRUE
92,WIPRO,WIPRO,300,-20,320,-6,TRUE
93,BIOCON,BIOCON,240,10,230,4,TRUE
94,AUROPHARMA,AUROPHARMA,660,20,640,3,TRUE
95,SUNPHARMA,SUNPHARMA,430,10,420,2,TRUE
96,HEROMOTOCO,HEROMOTOCO,350,20,330,6,TRUE
97,TATASTEEL,TATASTEEL,370,10,360,3,TRUE
98,VEDL,VEDL,110,-30,140,-21,TRUE
99,IDEA,IDEA,80,0,80,0,TRUE
100,JSWSTEEL,JSWSTEEL,240,0,240,0,TRUE
101,PGHH,PGHH,1080,-30,1110,-3,TRUE
