id,name,ticker,currentprice,change,lastprice,percent,updated
54,HDFCLIFE,HDFCLIFE,550,20,530,4,TRUE
55,BANKBARODA,BANKBARODA,50,-50,90,-50,TRUE
56,ONGC,ONGC,110,-10,120,-8,TRUE
57,MCDOWELL-N,MCDOWELL-N,650,60,590,10,TRUE
58,GAIL,GAIL,110,-20,130,-15,TRUE
59,EICHERMOT,EICHERMOT,170,10,160,6,TRUE
60,HINDUNILVR,HINDUNILVR,1680,100,1880,5,TRUE
61,DRREDDY,DRREDDY,270,0,270,0,TRUE
62,TECHM,TECHM,730,90,640,14,TRUE
63,BHARTIARTL,BHARTIARTL,360,0,360,0,TRUE
64,COLPAL,COLPAL,1230,30,1200,3,TRUE
65,TCS,TCS,2230,160,2070,7,TRUE
66,HAVELLS,HAVELLS,610,-40,650,-6,TRUE
67,SBILIFE,SBILIFE,870,40,830,5,TRUE
68,SRTRANSFIN,SRTRANSFIN,1080,60,1020,6,TRUE
69,ASIANPAINT,ASIANPAINT,1620,30,1590,2,TRUE
70,HCLTECH,HCLTECH,1110,20,1090,2,TRUE
71,CONCOR,CONCOR,480,-10,490,-2,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,330,0,330,0,TRUE
73,COALINDIA,COALINDIA,190,0,190,0,TRUE
74,INFY,INFY,770,-30,800,-4,TRUE
75,CIPLA,CIPLA,480,10,470,2,TRUE
76,OFSS,OFSS,310,10,300,3,TRUE
77,POWERGRID,POWERGRID,190,-10,200,-5,TRUE
78,NHPC,NHPC,30,5,25,20,TRUE
79,UPL,UPL,560,10,550,2,TRUE
80,TATAMTRDVR,TATAMTRDVR,45,-5,50,-10,TRUE
81,CADILAHC,CADILAHC,210,-10,220,-5,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2680,-60,2740,-2,TRUE
83,PAGEIND,PAGEIND,1870,60,1810,3,TRUE
84,MARUTI,MARUTI,660,40,620,6,TRUE
85,TATAMOTORS,TATAMOTORS,105,-5,110,-5,TRUE
86,MARICO,MARICO,370,-10,380,-3,TRUE
87,MOTHERSUMI,MOTHERSUMI,110,20,90,22,TRUE
88,NMDC,NMDC,90,10,80,13,TRUE
89,INFRATEL,INFRATEL,240,-10,250,-4,TRUE
90,HINDALCO,HINDALCO,170,-10,180,-6,TRUE
91,RELIANCE,RELIANCE,1370,100,1270,8,TRUE
92,WIPRO,WIPRO,270,20,250,8,TRUE
93,BIOCON,BIOCON,220,0,220,0,TRUE
94,AUROPHARMA,AUROPHARMA,490,0,590,0,TRUE
95,SUNPHARMA,SUNPHARMA,440,20,420,5,TRUE
96,HEROMOTOCO,HEROMOTOCO,210,20,190,11,TRUE
97,TATASTEEL,TATASTEEL,350,30,320,9,TRUE
98,VEDL,VEDL,180,50,130,38,TRUE
99,IDEA,IDEA,60,-10,70,-14,TRUE
100,JSWSTEEL,JSWSTEEL,230,20,210,10,TRUE
101,PGHH,PGHH,1030,40,990,4,TRUE
