id,name,ticker,currentprice,change,lastprice,percent,updated
69,ASIANPAINT,ASIANPAINT,1520,-110,1630,-7,TRUE
70,HCLTECH,HCLTECH,1160,10,1150,1,TRUE
71,CONCOR,CONCOR,510,-20,530,-4,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,330,-10,340,-3,TRUE
73,COALINDIA,COALINDIA,180,0,180,0,TRUE
74,INFY,INFY,600,-90,690,-13,TRUE
75,CIPLA,CIPLA,520,20,500,4,TRUE
76,OFSS,OFSS,330,0,330,0,TRUE
77,POWERGRID,POWERGRID,190,-10,200,-5,TRUE
78,NHPC,NHPC,30,-10,40,-25,TRUE
79,UPL,UPL,600,20,580,3,TRUE
80,TATAMTRDVR,TATAMTRDVR,40,-20,60,-33,TRUE
81,CADILAHC,CADILAHC,220,0,220,0,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2530,160,2370,7,TRUE
83,PAGEIND,PAGEIND,1710,-110,1820,-6,TRUE
84,MARUTI,MARUTI,710,50,660,8,TRUE
85,TATAMOTORS,TATAMOTORS,150,30,120,25,TRUE
86,MARICO,MARICO,390,-100,490,-20,TRUE
87,MOTHERSUMI,MOTHERSUMI,140,20,120,17,TRUE
88,NMDC,NMDC,90,0,90,0,TRUE
89,INFRATEL,INFRATEL,220,-10,230,-4,TRUE
90,HINDALCO,HINDALCO,160,10,150,7,TRUE
91,RELIANCE,RELIANCE,1720,180,1540,12,TRUE
92,WIPRO,WIPRO,310,20,290,7,TRUE
93,BIOCON,BIOCON,220,-10,230,-4,TRUE
94,AUROPHARMA,AUROPHARMA,610,0,610,0,TRUE
95,SUNPHARMA,SUNPHARMA,440,10,430,2,TRUE
96,HEROMOTOCO,HEROMOTOCO,320,0,320,0,TRUE
97,TATASTEEL,TATASTEEL,320,-30,350,-9,TRUE
98,VEDL,VEDL,160,20,140,14,TRUE
99,IDEA,IDEA,80,10,70,14,TRUE
100,JSWSTEEL,JSWSTEEL,240,0,240,0,TRUE
101,PGHH,PGHH,1110,30,1080,3,TRUE
