id,name,ticker,currentprice,change,lastprice,percent,updated
92,WIPRO,WIPRO,280,10,270,4,TRUE
93,BIOCON,BIOCON,220,0,220,0,TRUE
94,AUROPHARMA,AUROPHARMA,330,-160,490,-33,TRUE
95,SUNPHARMA,SUNPHARMA,450,10,440,2,TRUE
96,HEROMOTOCO,HEROMOTOCO,280,70,210,33,TRUE
97,TATASTEEL,TATASTEEL,350,0,350,0,TRUE
98,VEDL,VEDL,140,-40,180,-22,TRUE
99,IDEA,IDEA,60,0,60,0,TRUE
100,JSWSTEEL,JSWSTEEL,240,10,230,4,TRUE
101,PGHH,PGHH,990,-40,1030,-4,TRUE
